Dept,Course Number,Section,Course Title,Instructor,Book Title,Book URL,Image URL,,
POLI,7941,1,Civil War,Sobek,"Power in Movement: Social Movements, Collective Action and Politics",http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511973529,http://www.syndetics.com/index.aspx?isbn=9780521155724/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
POLI,7941,1,Civil War,Sobek,"The Geography of Ethnic Violence: Identity, Interests, and the Indivisibility of Territory",http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9781400835744/,http://www.syndetics.com/index.aspx?isbn=9781400835744/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
POLI,7941,1,Civil War,Sobek,"Understanding Ethnic Violence: Fear, Hatred, and Resentment in Twentieth-Century Eastern Europe",http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511840661,http://www.syndetics.com/index.aspx?isbn=9780521809863/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
REL,4011,1,Age of Reformation,Kooi,"Cautio Criminalis, or a Book on Witch Trials",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780813934174/,http://www.syndetics.com/index.aspx?isbn=9780813934174/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
RNR,4150,2,Forest Hydrology and Soils,Keim,Ecology and Management of Forest Soils,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1002/9781118422342,http://www.syndetics.com/index.aspx?isbn=9780470979471/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
RNR,7070,2,Graduate Seminar in Fisheries,Kaller,"Ecological Imperialism: The Biological Expansion of Europe, 900-1900",http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511805554,http://www.syndetics.com/index.aspx?isbn=9780521837323/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
SPAN,7970,1,Comparative Studies in Hispanic Literature,Castro,"In a Queer Time and Place: Transgender Bodies, Subcultural Lives",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780814790892/,http://www.syndetics.com/index.aspx?isbn=9780814735848/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
SPAN,7970,1,Comparative Studies in Hispanic Literature,Castro,King Kong Theory,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9781558616875/,http://www.syndetics.com/index.aspx?isbn=9781558616875/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
TAM,4046,1,Advanced Topics in Apparel Merchandising,Liu,The New Rules of Marketing and PR,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1002/9781119172499,http://www.syndetics.com/index.aspx?isbn=9781119070481/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
WGS,4500,2,Gender & Bodies,Berkowitz,"Embodied Resistance: Challenging the Norms, Breaking the Rules",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780826517883/,http://www.syndetics.com/index.aspx?isbn=9780826517883/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
WGS,7500,1,Transatlantic Queer,Castro,King Kong Theory,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9781558616875/,http://www.syndetics.com/index.aspx?isbn=9781558616875/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
